ds,y
2014-01-05,3616
2014-01-12,3413
2014-01-19,3068
2014-01-26,3237
2014-02-02,3296
2014-02-09,3249
2014-02-16,3320
2014-02-23,3055
2014-03-02,3377
2014-03-09,3201
2014-03-16,3142
2014-03-23,3133
2014-03-30,3079
2014-04-06,3538
2014-04-13,3338
2014-04-20,2888
2014-04-27,3280
2014-05-04,3209
2014-05-11,3375
2014-05-18,3091
2014-05-25,3131
2014-06-01,3513
2014-06-08,3406
2014-06-15,3133
2014-06-22,3394
2014-06-29,3477
2014-07-06,3680
2014-07-13,3187
2014-07-20,3439
2014-07-27,3107
2014-08-03,3823
2014-08-10,3535
2014-08-17,3334
2014-08-24,3215
2014-08-31,3253
2014-09-07,3430
2014-09-14,3339
2014-09-21,3168
2014-09-28,2970
2014-10-05,3398
2014-10-12,3274
2014-10-19,3567
2014-10-26,3542
2014-11-02,3995
2014-11-09,3557
2014-11-16,3551
2014-11-23,3467
2014-11-30,3077
2014-12-07,3761
2014-12-14,3593
2014-12-21,3705
2014-12-28,2788
2015-01-04,3443
2015-01-11,3340
2015-01-18,3423
2015-01-25,3331
2015-02-01,3482
2015-02-08,3498
2015-02-15,3633
2015-02-22,3465
2015-03-01,4006
2015-03-08,3792
2015-03-15,3370
2015-03-22,3730
2015-03-29,3357
2015-04-05,3839
2015-04-12,3787
2015-04-19,3774
2015-04-26,3804
2015-05-03,3509
2015-05-10,3816
2015-05-17,3943
2015-05-24,3960
2015-05-31,3729
2015-06-07,3702
2015-06-14,3329
2015-06-21,3521
2015-06-28,3791
2015-07-05,4135
2015-07-12,4140
2015-07-19,4011
2015-07-26,3684
2015-08-02,4064
2015-08-09,4193
2015-08-16,4021
2015-08-23,3897
2015-08-30,3752
2015-09-06,3913
2015-09-13,3857
2015-09-20,3930
2015-09-27,3610
2015-10-04,3983
2015-10-11,3549
2015-10-18,3873
2015-10-25,4015
2015-11-01,3894
2015-11-08,4094
2015-11-15,3787
2015-11-22,4159
2015-11-29,3336
2015-12-06,4447
2015-12-13,4178
2015-12-20,4129
2015-12-27,3389
2016-01-03,3969
2016-01-10,3590
2016-01-17,3631
2016-01-24,3699
2016-01-31,3606
2016-02-07,3784
2016-02-14,3487
2016-02-21,3850
2016-02-28,3742
2016-03-06,3770
2016-03-13,3658
2016-03-20,3389
2016-03-27,3325
2016-04-03,4170
2016-04-10,3529
2016-04-17,3633
2016-04-24,3721
2016-05-01,3802
2016-05-08,3890
2016-05-15,4212
2016-05-22,3501
