ds,y
2011-02-06,3089
2011-02-13,3336
2011-02-20,2868
2011-02-27,3156
2011-03-06,2027
2011-03-13,3022
2011-03-20,2929
2011-03-27,3298
2011-04-03,3215
2011-04-10,3352
2011-04-17,3078
2011-04-24,2626
2011-05-01,3130
2011-05-08,2950
2011-05-15,3125
2011-05-22,2806
2011-05-29,2940
2011-06-05,2613
2011-06-12,3251
2011-06-19,3244
2011-06-26,2872
2011-07-03,2879
2011-07-10,2984
2011-07-17,2818
2011-07-24,3061
2011-07-31,2710
2011-08-07,3295
2011-08-14,2969
2011-08-21,2845
2011-08-28,2777
2011-09-04,3064
2011-09-11,3080
2011-09-18,2574
2011-09-25,2913
2011-10-02,3434
2011-10-09,3074
2011-10-16,3417
2011-10-23,2936
2011-10-30,2712
2011-11-06,3113
2011-11-13,2722
2011-11-20,2670
2011-11-27,2269
2011-12-04,3268
2011-12-11,2976
2011-12-18,2754
2011-12-25,2314
2012-01-01,3011
2012-01-08,3155
2012-01-15,2954
2012-01-22,2711
2012-01-29,2757
2012-02-05,3093
2012-02-12,2706
2012-02-19,2517
2012-02-26,2660
2012-03-04,3183
2012-03-11,2909
2012-03-18,2813
2012-03-25,2855
2012-04-01,2981
2012-04-08,2759
2012-04-15,3480
2012-04-22,3169
2012-04-29,2661
2012-05-06,3384
2012-05-13,2007
2012-05-20,2061
2012-05-27,2064
2012-06-03,3455
2012-06-10,3185
2012-06-17,2917
2012-06-24,3016
2012-07-01,2890
2012-07-08,2428
2012-07-15,2955
2012-07-22,3044
2012-07-29,2122
2012-08-05,2676
2012-08-12,2222
2012-08-19,2344
2012-08-26,2266
2012-09-02,2334
2012-09-09,2197
2012-09-16,2203
2012-09-23,2378
2012-09-30,2142
2012-10-07,2383
2012-10-14,2364
2012-10-21,2321
2012-10-28,2394
2012-11-04,2259
2012-11-11,2173
2012-11-18,2049
2012-11-25,1731
2012-12-02,1945
2012-12-09,2096
2012-12-16,2097
2012-12-23,2119
2012-12-30,1647
2013-01-06,1970
2013-01-13,2057
2013-01-20,1980
2013-01-27,2869
2013-02-03,3441
2013-02-10,2430
2013-02-17,3497
2013-02-24,3379
2013-03-03,3414
2013-03-10,2373
2013-03-17,3192
2013-03-24,3052
2013-03-31,2277
2013-04-07,3965
2013-04-14,3379
2013-04-21,3249
2013-04-28,3382
2013-05-05,2353
2013-05-12,3061
2013-05-19,3188
2013-05-26,3673
2013-06-02,3602
2013-06-09,3901
2013-06-16,3460
2013-06-23,3507
2013-06-30,3238
2013-07-07,3416
2013-07-14,3208
2013-07-21,3461
2013-07-28,2932
2013-08-04,3587
2013-08-11,3322
2013-08-18,3110
2013-08-25,3254
2013-09-01,3160
2013-09-08,2183
2013-09-15,3429
2013-09-22,3246
2013-09-29,3429
2013-10-06,3923
2013-10-13,3555
2013-10-20,3553
2013-10-27,3253
2013-11-03,3567
2013-11-10,3581
2013-11-17,3669
2013-11-24,3573
2013-12-01,3086
2013-12-08,4278
2013-12-15,3791
2013-12-22,3903
2013-12-29,2788
2014-01-05,3616
2014-01-12,3413
2014-01-19,3068
2014-01-26,3237
2014-02-02,3296
2014-02-09,3249
2014-02-16,3320
2014-02-23,3055
2014-03-02,3377
2014-03-09,3201
2014-03-16,3142
2014-03-23,3133
2014-03-30,3079
2014-04-06,3538
2014-04-13,3338
2014-04-20,2888
2014-04-27,3280
2014-05-04,3209
2014-05-11,3375
2014-05-18,3091
2014-05-25,3131
2014-06-01,3513
2014-06-08,3406
2014-06-15,3133
2014-06-22,3394
2014-06-29,3477
2014-07-06,3680
2014-07-13,3187
2014-07-20,3439
2014-07-27,3107
2014-08-03,3823
2014-08-10,3535
2014-08-17,3334
2014-08-24,3215
2014-08-31,3253
2014-09-07,3430
2014-09-14,3339
2014-09-21,3168
2014-09-28,2970
2014-10-05,3398
2014-10-12,3274
2014-10-19,3567
2014-10-26,3542
2014-11-02,3995
2014-11-09,3557
2014-11-16,3551
2014-11-23,3467
2014-11-30,3077
2014-12-07,3761
2014-12-14,3593
2014-12-21,3705
2014-12-28,2788
2015-01-04,3443
2015-01-11,3340
2015-01-18,3423
2015-01-25,3331
2015-02-01,3482
2015-02-08,3498
2015-02-15,3633
2015-02-22,3465
2015-03-01,4006
2015-03-08,3792
2015-03-15,3370
2015-03-22,3730
2015-03-29,3357
2015-04-05,3839
2015-04-12,3787
2015-04-19,3774
2015-04-26,3804
2015-05-03,3509
2015-05-10,3816
2015-05-17,3943
2015-05-24,3960
2015-05-31,3729
2015-06-07,3702
2015-06-14,3329
2015-06-21,3521
2015-06-28,3791
2015-07-05,4135
2015-07-12,4140
2015-07-19,4011
2015-07-26,3684
2015-08-02,4064
2015-08-09,4193
2015-08-16,4021
2015-08-23,3897
2015-08-30,3752
2015-09-06,3913
2015-09-13,3857
2015-09-20,3930
2015-09-27,3610
2015-10-04,3983
2015-10-11,3549
2015-10-18,3873
2015-10-25,4015
2015-11-01,3894
2015-11-08,4094
2015-11-15,3787
2015-11-22,4159
2015-11-29,3336
2015-12-06,4447
2015-12-13,4178
2015-12-20,4129
2015-12-27,3389
2016-01-03,3969
2016-01-10,3590
2016-01-17,3631
2016-01-24,3699
2016-01-31,3606
2016-02-07,3784
2016-02-14,3487
2016-02-21,3850
2016-02-28,3742
2016-03-06,3770
2016-03-13,3658
2016-03-20,3389
2016-03-27,3325
2016-04-03,4170
2016-04-10,3529
2016-04-17,3633
2016-04-24,3721
2016-05-01,3802
2016-05-08,3890
2016-05-15,4212
2016-05-22,3501
